<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `r_eh_r </s>	レア	レア
<s> `p_aw er `l_ah_n_ch </s>	パワーランチ	パワーランチ
<s> `hh_ae_m b_er g_er `sh_aa_p </s>	ハンバーガーショップ	ハムバーガーショップ
<s> `v_ih_zh w_ax `l_ay_z </s>	ビジュアライズ	ビジュアライズ
<s> `f_ae_n `hh_iy t_er </s>	ファンヒーター	ファンヒーター
<s> `p_ih_k `s_m_ae_p </s>	ピックスマップ	ピクスマップ
<s> `b_iy_ch `s_aa k_er </s>	ビーチサッカー	ビーチソカー
<s> `m_ih m_ih_k </s>	ミミック	ミミック
<s> `s_ay_d `d_ih_sh </s>	サイドディッシュ	サイドディッシュ
<s> `b_l_ae_ng k_ih_ng </s>	ブランキング	ブランキング
<s> `d_er t_iy </s>	ダーティー	ディティ
<s> `b_ao_r_d `g_ey_m </s>	ボドゲ	ボードゲーム
<s> `k_ih_d_z `b_ih_z n_ax_s </s>	キッズビジネス	キッズビジネス
<s> ih `m_er jh_ax_n s_iy </s>	イマージェンシー	エマージンシー
<s> `p_r_ae_k t_ax k_ax_l </s>	プラクティカル	プラクティカル
<s> k_ax_n `s_ay_s </s>	コンサイス	コンサイス
<s> r_uw `s_ae_n </s>	ルーサンヌ	ルーサン
<s> `d_eh_l t_ax `f_ao_r_s </s>	デルタフォース	デルタフォース
<s> `s_p_ih `r_ay `t_ih z_ax_m </s>	スピリティズム	スピリティズム
<s> `b_ih_l_t ih_n </s>	ビィルトイン	ビルトイン
<s> `g_er_n z_iy </s>	ガーンジー	ガーンジー
<s> `iy_s_t `eh_n_d </s>	イーストエンド	イーストエンド
<s> `b_y_uw k_er `eh_s_t </s>	ブカレスト	ビューカーレスト
<s> `f_r_ae_ng `l_ey </s>	フラングレ	フランレー
<s> `ay `b_r_aw `p_eh_n s_ax_l </s>	アイブローペンシル	アイブローペンシル
<s> `p_aa_r k_ax </s>	ヨットパーカー	パーコ
<s> ih `n_ih sh_ax_l_z </s>	イニシャル	エネシャル
<s> `w_eh_l_ch `k_ao_r g_iy </s>	ウェルシュコーギー	ウェルシュコーギー
<s> s_ax `m_eh_n_t </s>	セメント	シメント
<s> `f_l_eh_k s_ax b_ax_l `d_ih_s_k </s>	フレキシブルディスク	フレキシブルディスク
<s> b_ax `m_aa k_ow </s>	バマコ	バモコ
<s> `m_ih jh_ax_t </s>	ミゼット	ミゼット
<s> `hh_iy_t `p_ay_p </s>	ヒートパイプ	ヒートパイプ
<s> `m_ae k_r_ow ax `s_eh_m b_l_er </s>	マクロアセンブラ	マクロアセンブラ
<s> `s_ao_r_t </s>	ソート	ソート
<s> `m_ih_l_k `p_ah_n_ch </s>	ミルクポンチ	ミルクパンチ
<s> `s_ih g_er `eh_t `hh_ow_l d_er </s>	シガレットホールダー	シガレットホールダー
<s> `aa `f_l_ay_n `s_t_ao r_ax_jh </s>	オフラインストレージ	アフラインストートレージ
<s> l_ih `k_er `g_l_ae_s </s>	リキュールグラス	リカグラス
<s> `ae_f t_er `sh_ey_v `l_ow sh_ax_n </s>	アフターシェーブローション	アフターシェーブローション
<s> `w_ay_l_d `k_ae_t `s_t_r_ay_k </s>	ワイルドキャットストライキ	ワイルドキャットストライキ
<s> `m_eh t_ax f_ao_r </s>	メタフォール	メタフォール
<s> `r_ae v_ih `g_ow_t `s_ao_s </s>	ラビゴットソース	ラビゴットソース
<s> `s_w_iy d_ih_sh </s>	スウェディッシュ	スウィーディッシュ
<s> k_ax t_ax `k_aa n_ax `z_ow_l </s>	ケトコナゾール	カタカナゾール
<s> `k_l_eh `m_ae s_t_iy_n </s>	クレマスチン	クラマスチン
<s> `n_aa_k </s>	ノック	ノック
<s> `ae n_ax_k `d_ow_t </s>	アネクドート	アネクドート
<s> `k_w_aa l_ax t_iy </s>	クオリティ	カリティ
<s> `t_ow n_er `k_aa_r t_r_ax_jh </s>	トナーカートリッジ	トナーカートリッジ
<s> `k_aw_n t_er `p_aa_r_t </s>	カウンターパート	カウンターパート
<s> `jh_ae_m `b_ah_n </s>	ジャムパン	ジャンバン
<s> `s_ae_l m_ih_s </s>	サルミ	サルミ
<s> `t_ow k_ax_n `k_y_uw </s>	トークンキュー	トコンキュー
<s> p_r_ax `d_ah_k t_ih_v </s>	プロダクティブ	プロダクティブ
<s> `th_ay `m_ao_l </s>	チモール	サイマル
<s> `ae_m `p_ih_r </s>	アンペア	アンペア
<s> `k_r_ao_s `s_t_ih_ch </s>	クロスステッチ	クロスステッチ
<s> d_er `eh_k t_er_z `k_ah_t </s>	ディレクターズカット	ダレクターカット
<s> `s_ay_t `s_iy ih_ng </s>	サイトシーイング	サイトシーリング
<s> `p_iy_ch `m_eh_l b_ax </s>	ピーチメルバ	ピーチメルバ
<s> `b_ae_n `t_ah `s_t_ae_n </s>	バントゥースタン	バントゥースタン
<s> `b_iy k_ax_n </s>	ビーコン	ビーコン
<s> `s_t_eh_p `b_ay s_ax_n </s>	ステップバイソン	ステップバイソン
<s> `t_eh_k n_ow `k_ah_t </s>	テクノカット	テクノカット
<s> `y_ah p_iy </s>	ヤッピー	ヤッピー
<s> `p_aa l_ax t_ax n_ax_l </s>	ポリトーナル	ポリティナル
<s> `aw t_w_er_d </s>	アウトワァド	オトワァド
<s> `k_aa t_ax_jh </s>	コテージ	コテージ
<s> ao `s_t_r_ey l_y_ax_n `m_aa_r b_ax_l_d `k_ae_t `sh_aa_r_k </s>	オーストラリアンマーブルキャットシャーク	オーストラリアンマーブルキャットシャーク
<s> z_aa k_ax_t </s>	ザカート	サケット
<s> `p_eh r_ax `s_t_r_oy k_ax </s>	ペレストロイカ	パラストロイカ
<s> `b_r_eh_k f_ax_s_t </s>	ブレックファースト	ブレックファースト
<s> `t_ow_d </s>	トード	トード
<s> `t_ae_s_k `b_aa_r </s>	タスクバー	タスクバー
<s> `s_t_er ax_p </s>	スターラップ	スターラップ
<s> `ae `f_ih r_ax s_ax_s </s>	アフェレーシス	アフィリシス
<s> `ao_n `l_ay_n `n_eh `t_w_er_k `s_ih s_t_ax_m </s>	オンラインネットワークシステム	オンラインネットワークシステム
<s> b_ih `k_iy n_iy `m_aa d_ax_l </s>	ビキニモデル	ビキニモデル
<s> r_iy `t_eh_n sh_ax_n </s>	リテンション	リテンション
<s> `ae_k ch_ax `w_eh r_iy </s>	アクチュアリー	アクチュアリ
<s> `v_oy_s `ch_ae_t </s>	ボイスチャット	ボイスチャット
<s> k_ax `m_er sh_ax `l_ih z_ax_m </s>	コマーシャリズム	カマーシャリズム
<s> `p_aa_p `ah_p `ay t_ax_m </s>	ポップアップアイテム	ポップアップアイテム
<s> `eh m_ax g_r_ax_n_t </s>	エミグラント	エミグラント
<s> `hh_ae_n_d `r_ih_m </s>	ハンドリム	ハンドリム
<s> `ch_eh k_ax s_l_ow `v_aa k_iy ax </s>	チェコスロバキア	チェコスロバキア
<s> `r_uw_f `r_ae_k </s>	ルーフラック	ルーフラック
<s> `ch_eh_s_t </s>	チェスト	チェスト
<s> `hh_aw_s `d_r_eh_s </s>	ホームウエア	ハウスドレス
<s> `p_r_ow `k_ey_n </s>	プロカイン	プロカイン
<s> `d_eh `b_ah_g </s>	デバグ	デバグ
<s> `l_ow t_ax_s </s>	ロータス	ロータス
<s> k_ax `m_y_uw n_ax `k_ey sh_ax_n `s_er v_er </s>	コミュニケーションサーバー	カムナカションサーバー
<s> `f_l_ey `v_ow_n </s>	フラボン	フレーラボン
<s> l_ax `l_eh_k t_iy_eh </s>	ルレクチエ	リレクチエ
<s> `y_uw n_ax `v_er s_ax_l `s_p_ey_s </s>	ユニバーサルスペース	ユーナバーサルスペース
<s> ow `l_ih_m p_iy `ae_d </s>	オリンピアード	オリンピアード
<s> `n_uw_z `v_ae l_y_uw </s>	ニュースバリュー	ニュースバリュー
<s> `f_l_aw er `g_er_l </s>	フラワーガール	フラワーガール
<s> `k_w_ih_k `s_t_eh_p </s>	クイックステップ	クイックステップ
<s> `l_ow k_ax `m_ow sh_ax_n </s>	ロコモーション	ローカモシ
<s> v_ey `k_ey sh_ax_n </s>	バケーション	バケーション
<s> ax `s_eh_t `l_iy_n `t_ao_r_ch </s>	アセチレンランプ	アセットレントーチ
<s> `p_ow_s_t `m_aa d_er n_ax_s_t </s>	ポストモダニスト	ポストモダニスト
<s> `f_ow m_ax </s>	フォーマ	フォメー
<s> `ih_n s_ax d_ax_n_s </s>	インシデンス	インシデンス
<s> jh_aa p_ax n_ih_z_m </s>	ジャポニズム	ジャパニズム
<s> `w_ay `d_eh_s_k s_iy </s>	ワイドスカジー	ワイドスカジー
<s> `v_eh_n d_er </s>	ベンダー	ベンダー
<s> `m_ay k_r_ax `p_l_ae s_t_ih_k_s </s>	マイクロプラスチック	マイクロプラスチック
<s> `g_ae_p `l_ey_dh </s>	ギャップレース	ギャップダライ
<s> `t_r_uw m_ax_n `d_aa_k t_r_ax_n </s>	トルーマンドクトリン	トマンドクトリン
<s> `t_uw_n `ah_p </s>	チューンナップ	トーンアップ
<s> `r_ow `b_aa `p_ow_s_t </s>	ロボポスト	ローボポスト
<s> `b_r_ih `l_aa_n t_iy </s>	ブリッランテ	ブリロンティー
<s> r_iy `l_ay ax `b_ih l_ax t_iy </s>	リライアビリティー	リライアビリティ
<s> l_ow `k_ae_l </s>	ロカール	ローカル
<s> `k_iy `n_ow_t </s>	キーノート	キーノート
<s> `g_l_eh_n `ch_eh_k </s>	グレンチェック	グレンチェック
<s> `k_r_iy_k </s>	キイキイ	クリーク
<s> `m_ae d_ax_m </s>	マダム	マダム
<s> ax `d_ae_p t_er `k_aa_r_d </s>	アダプタカード	アダプタカード
<s> `p_r_ih m_ax t_ih_v `aa_r_t </s>	プリミティブアート	プリマティブアート
<s> `p_ih_n `hh_ow_l </s>	ピンホール	ピンホール
<s> `s_er k_ax_t `t_r_ey n_ih_ng </s>	サーキットトレーニング	サーキットトレーニング
<s> `s_eh_n t_er ih_ng </s>	センタリング	センターリン
<s> `k_aa_r b_ax n_aa `t_ay_t </s>	カーボナタイト	カーボナタイト
<s> `hh_eh v_ax_n </s>	ヘブン	ヘブン
<s> r_ih `l_iy_f </s>	リリーフ	リリーフ
<s> `k_ah_m f_er t_ax b_ax_l </s>	コンフォータブル	コンファタブル
<s> `k_ow s_er `v_ey_t </s>	コアセルベート	コサアルベート
<s> `f_r_iy m_aa_r t_ih_n </s>	フリーマーチン	フリーマーチン
<s> `k_aa_n v_er_s </s>	コンバース	コンバース
<s> `hh_ay_k </s>	ハイク	ハイク
<s> `m_iy_t `s_ao_s </s>	ミートソース	ミートソース
<s> `t_r_ih g_er `p_r_aa `s_eh_s </s>	トリガプロセス	トリガープロセス
<s> `m_ah_l t_iy `w_ih_n d_ow </s>	マルチウィンドウ	マルチウィンウド
<s> `s_aa_f_t `k_er_d `m_ih_l_k </s>	ソフトカードミルク	ソフトカードミルク
<s> `k_eh n_y_ax_n k_r_ax m_ih_s </s>	ケニアンクロミス	カニオンクロミス
<s> k `l_y_ow n_iy </s>	クリオネ	クリオネ
<s> `ah_l t_r_ax `l_ay_t `p_l_ey_n </s>	ウルトラライトプレーン	アルトラライトプレーン
<s> `m_ae `t_aa r_ow </s>	マタロ	マトロ
<s> `s_t_ao_r k_ax_n `t_r_ow l_er </s>	ストアコントローラ	ストアコントローラ
<s> `ow p_ax_n `aa_r k_ax `t_eh_k ch_er </s>	オープンアーキテクチャ	オープンアーキテクチャ
<s> `s_ih s_t_ax_m `k_aa_n t_eh_k_s_t </s>	システムコンテキスト	システムコンテキスト
<s> `d_r_eh_s </s>	ドレス	ドレス
<s> `eh_r `k_aa_n </s>	エアコン	エアコン
<s> `t_iy_m `w_er_k </s>	チームワーク	チームワーク
<s> `b_ow n_ax_s </s>	ボーナス	ボナ
<s> `r_eh n_ax_t </s>	レンネット	レノ
<s> `eh-s `v-iy `aa-r `f_ao_r </s>	エスブイアールフォー	エスブイアールフォー
<s> `k_aw_ch </s>	カウチ	コーチ
<s> `p_aa_r s_n_ih_p </s>	パースニップ	パースニップ
<s> `v-iy `eh-l `eh-m </s>	ブイエルエム	ブイエルエム
<s> `hh_ow m_ax_ng k_y_ax l_ax_s </s>	ホムンクルス	ホムンクルス
<s> `k_aa k_iy </s>	カーキ	コキ
<s> `v_ae n_ax t_iy </s>	バニティー	バニティー
<s> `k_ae_l m_ax_n `f_ih_l t_er </s>	カルマンフィルター	カルマンフィルタ
<s> `t-iy `p-iy `m_aa n_ax t_er </s>	ティーピーモニタ	ティーピーモニター
<s> ax `l_eh_k `s_ay_t </s>	ウレキサイト	アレクサイト
<s> `th_r_ah s_t_er </s>	スラスター	スラスター
<s> `m_ae d_ax m_ax `z_eh_l </s>	マドモアゼル	マジマル
<s> `b_oy l_er m_ax_n </s>	ボイラーマン	ボーイラーマン
<s> `l_ah_n_ch `s_eh_t </s>	ランチセット	ランチセット
<s> `s_ey l_er </s>	セーラー	サラ
<s> ih `l_eh_k t_r_aa_n </s>	エレクトロン	エレクトロン
<s> `n_ae s_ao </s>	ナッソー	ナソー
<s> `hh_eh_l th_iy </s>	ヘルシー	ヘルシー
<s> `l_ah_n_ch `t_ay_m </s>	ランチタイム	ランチタイム
<s> `b_ae_k `s_t_ey_jh </s>	バックステージ	バックステージ
<s> `hh_iy b_r_uw </s>	ヘブル	ヘブル
<s> k_ax_n `s_t_r_ah_k sh_ax_n `m_ae n_ax_jh m_ax_n_t </s>	コンストラクションマネージメント	コンストラクションマネジメント
<s> k_ax_m `p_y_uw t_er `m_ay k_r_ow `g_r_ae f_ih_k_s </s>	コンピュータマイクログラフィックス	コンピュータミクログラフィックス
<s> `b_ao_r d_er `p_r_ih_n_t </s>	ボーダープリント	ボーダープリント
<s> `l_ah k_iy `b_oy </s>	ラッキーボーイ	ラコボーイ
<s> `s_w_ih_ch `b_ae_k </s>	スイッチバック	スイッチバック
<s> `d_er hh_ax_m </s>	ディルハム	ディルハム
<s> `k_ih `n_iy s_ih_k_s </s>	カイネシクス	キネシクス
<s> `s_p_r_ih_n_t </s>	スプリント	スプリント
<s> `g_ae_s `r_ey_n_jh </s>	ガステーブル	ガスレンジ
<s> `t_ae_s_k `s_w_ih ch_er </s>	タスクスイッチャ	タスクスイチャー
<s> `n_ao_r m_ax l_ih `z_ey sh_ax_n </s>	ノーマライゼーション	ノーマリゼーション
<s> `r_eh_r `k_ey_s </s>	レアケース	レアケース
<s> `m_ah_l t_ih `k_ae_s_t </s>	マルチキャスト	マルチキャスト
<s> `m_aa_r b_ax_l_d `k_ae_t </s>	マーブルキャット	マーブルキャット
<s> s_er `p_r_ay_z </s>	サプライズ	サープライズ
<s> `r_ih_f </s>	リフ	リフ
<s> `s_eh_n t_ih m_ow </s>	センティモ	センチモ
<s> b_iy `aa n_ih_k_s </s>	バイオニクス	ビオニクス
<s> `k_aa_k `t_ey_l </s>	カクテル	コレ
<s> `b_eh_l_t </s>	ベルト	ベルト
<s> `s_eh_n t_er `ah_v `eh_k s_ax l_ax_n_s </s>	センターオブエクセレンス	センターオブエクサランス
<s> `r_ow t_iy </s>	ロティ	ローティー
<s> `iy d_iy </s>	イーディーアイ	エディ
<s> ih_k `s_ay_t m_ax_n_t </s>	イクサイトメント	エクサイトメント
<s> `eh-f `s-iy `s-iy </s>	エフシーシー	エフシーシー
<s> `l_ih k_er ih_sh </s>	リコリス	リカーイッシュ
<s> `p_ow_s_t d_ax_k </s>	ポストドクター	ポストドクター
<s> `ae b_r_ax k_ax `d_ae b_r_ax </s>	アブラカダブラ	アブラカダブラ
<s> `f_r_ow `f_r_uw </s>	フルフル	フロールル
<s> `r_eh l_ih_k </s>	レリック	レリック
<s> `d_ao_r m_er `w_ih_n d_ow </s>	ドーマーウインドー	ドアマーウィンウド
<s> `p_r_ih_n t_er `d_r_ay v_er </s>	プリンタドライバ	プリンタドライバー
<s> `k_ae r_iy er `oy_l </s>	キャリアオイル	カリアオイル
<s> `l_ow_n l_iy </s>	ロンリー	ローンリ
<s> `ae `n_ow ax </s>	アノア	アノア
<s> n_uw_ae_k `ch_aa_t </s>	ヌアクショット	ヌアクショット
<s> `ch_eh_k `p_r_ay_s </s>	チェックプライス	チェックプライス
<s> `s_w_ih_s `ch_aa_r_d </s>	スイスチャード	スイスチャード
<s> `d_ih n_er `t_ay_m </s>	ディナータイム	ディナータイム
<s> `f_ay_l `ae_k `s_eh_s `m_ow_d </s>	ファイルアクセスモード	ファイルアクセスモード
<s> `g_aa_r d_ax_n `k_r_eh_s </s>	ガーデンクレス	ガーデンクレス
<s> `ow v_er `l_aa k_er </s>	オーバーロックミシン	オーバーロッカー
<s> `k_aw_l `n_eh `k_l_ay_n </s>	カウルネックライン	カウルネックライン
<s> `s_ay_d `l_ay_n </s>	サイドライン	サイドライン
<s> `l_ih s_ax n_ih_ng </s>	リスニング	リシニング
<s> `p_ey_n_t </s>	ペンキ	ペイント
<s> n_ax n_ow `t_uw_b </s>	ナノチューブ	ナノチューブ
<s> `b_aa_r `t_ey_p </s>	バーテープ	バーテープ
<s> `hh_w_ay_t `t_ih_p `r_iy_f `sh_aa_r_k </s>	ホワイトチップリーフシャーク	ホワイトチップリーフシャーク
<s> `m_ih_p_s </s>	ミップス	ミップス
<s> `s_iy k_w_ax_n s_er </s>	シーケンサー	シーケンサー
<s> `ih_n t_er `ae_k `t_ih v_ih t_iy </s>	インタラクティビティー	インターアクティビティ
<s> `k_aa `m_y_uw_n </s>	コムーネ	コムーネ
<s> ey `t_iy_n </s>	エイティーン	エイティーン
<s> `f_l_ay_t `s_ih m_y_ax `l_ey t_er </s>	フライトシミュレータ	フライトシミュレーター
<s> `s_ow sh_ax_l `d_ah_m p_ih_ng </s>	ソーシャルダンピング	ソシャダンピング
<s> `l_aa `p_l_aa t_ax `d_aa_l f_ax_n </s>	ラプラタカワイルカ	ロプロッタドールフィン
<s> `w_ih_n `t_eh_l </s>	ウインテル	ウィンテル
<s> `sh_eh_l t_er </s>	シェルター	シェルター
<s> `p_l_ey_s `m_ae_t </s>	ランチョンマット	プレースマット
<s> `hh_ae_n_d_z `f_r_iy </s>	ハンズフリー	ハンドフリー
<s> `ih_n d_iy ax_n `b_l_uw </s>	インディアンブルー	インディアンブル
<s> `m_ay k_r_ax `f_ih_l_m </s>	マイクロフィルム	マイクロフィルム
<s> p_iy `aa_f_s </s>	ピアフ	ピアフ
<s> `k_aa f_iy `m_ey k_er </s>	コーヒーメーカー	コヒーメーカー
<s> `s_er_ch </s>	サーチ	サーチ
<s> `m_eh t_ax `s_er_k </s>	メタサーチ	メタサーチ
<s> `ae_m n_ax s_t_iy </s>	アムネスティ	アンナスティ
<s> `b_ay s_ih k_ax_l `r_eh_n t_ax_l </s>	レンタサイクル	バイシカルレンタル
<s> `k_r_ae_ng_k </s>	クランク	クランク
<s> `ih_n_z </s>	インス	インス
<s> `d_r_aa_p `k_ih_k </s>	ドロップキック	ドロップキック
<s> `m_ow `hh_eh_r </s>	モヘア	モヘア
<s> `hh_ao_r n_ih_t </s>	ホーネット	ホネット
<s> ih `m_ih sh_ax_n </s>	エミッション	エミシ
<s> `n_eh_p </s>	ネップ	ネプ
<s> `ch_eh_k ih_n `k_aw_n t_er </s>	チェックインカウンター	チェックインカウンター
<s> `l_ao_g `f_ay_l </s>	ログファイル	ログファイル
<s> k_ax_m `b_ay_n_d `l_ih_ng_k `s_eh_t </s>	コンバインドリンクセット	コンバインドリンクセット
<s> s_aa v_er ih_n </s>	サバラン	サバリン
<s> `aw_s_t </s>	アウスト	アウスト
<s> `p_l_ae_k </s>	プラーク	プラーク
<s> `k_y_uw t_ax k_ax_l r_ih `m_uw v_er </s>	キューティクルリムーバー	キューティカルリムーバー
<s> `m_ah_f t_iy </s>	ムフティー	ムフティー
<s> `d_r_ey p_ih_ng </s>	ドレーピング	ドレピング
<s> `g_r_ae f_ih_k `f_ih_l t_er </s>	グラフィックフィルタ	グラフィックフィルタ
<s> `p_r_iy `f_ae_b </s>	プレハブ	プレハブ
<s> `g_ow_l `k_ih_k </s>	ゴールキック	ゴールキック
<s> `ae n_ax `l_iy_n `b_l_ae_k </s>	アニリンブラック	アナリンブラック
<s> `g_ae m_ax `f_iy_l_d </s>	ガンマフィールド	ガマフィールド
<s> `p_r_aa jh_eh_k_t </s>	プロジェクト	プロジェクト
<s> `hh_ah b_ax `hh_ah b_ax </s>	ハバハバ	ハバハバ
<s> `v_ih d_iy ow `k_ae_p ch_er `k_aa_r_d </s>	ビデオキャプチャカード	ビデオキャプチャーカード
<s> `eh_m p_er er `p_eh_ng g_w_ax_n </s>	エンペラーペンギン	エンペラペンギン
<s> r_ih `m_uw v_ax b_ax_l `hh_aa_r_d `d_r_ay_v </s>	リムーバブルハードディスクドライブ	リムーバブルハードドライブ
<s> `g_aa_n d_iy </s>	ガンディー	ガンディー
<s> `b_ay `ow `s_ay b_er `n_eh t_ih_k_s </s>	バイオサイバネティクス	バイオサイバーネティックス
<s> `t_ay t_ax_n `b_iy t_ax_l </s>	タイタンオオウスバカミキリ	タイタンビートル
<s> `t_ay g_er `sh_aa_r_k </s>	タイガーシャーク	タイガーシャーク
<s> `s_t_aa_r `k_ih_ng </s>	スターキング	スターキング
<s> `d_eh_l `f_ih n_iy ax_m </s>	デルフィニウム	デルフィニウム
<s> `b_ih_l_jh `k_iy_l </s>	ビルジキール	ビルジキール
<s> g_ax `z_eh_l </s>	ガゼル	ガゼル
<s> `ao t_ax `f_ow k_ax_s </s>	オートフォーカス	オートフォーカス
<s> `aa n_ih_k_s </s>	オニキス	アニクス
<s> `m_ey k_aa_ng `d_eh_l t_ax </s>	メコンデルタ	マコンデルタ
<s> `s_t_ey t_ax_n </s>	スタチン	ステータン
<s> `p_r_aa `m_ay_d </s>	プロマイド	プロマイド
<s> m_ax `n_aa g_w_ax </s>	マナグア	マノガ
<s> `hh_eh_r p_ih_n `k_er_v </s>	ヘアピンカーブ	ヘアピンカーブ
<s> `r_ah_sh </s>	ラッシュ	ラッシュ
<s> `b_aa_n d_ih_jh </s>	ボンデージ	ネデージ
<s> `ow n_er `sh_ih_p </s>	オーナーシップ	オーナーシップ
<s> `k_aa_n s_ax_n `t_r_ey sh_ax_n </s>	コンセントレーション	コンセントレーション
<s> `y_ae_m </s>	ヤム	ヤム
<s> `hh_eh_d `sh_aa_t </s>	ヘッショ	ヘッドショット
<s> `g_ih_v `ah_p </s>	ギブアップ	ギブアップ
<s> `p_ay_p </s>	パイプ	パイプ
<s> `b_ae_s g_ih `t_aa_r </s>	ベースギター	バスギター
<s> ax `m_iy n_ow </s>	アミノ	アメノ
<s> s_uw f_ih z_ax_m </s>	スーフィズム	スーフィズム
<s> `s_ih_ng k_r_ax `m_ih z_ax_m </s>	シンクロミズム	シンクロミズム
<s> `p_eh r_ax `d_ay_m </s>	パラダイム	パラダイム
<s> m_ay `n_ao r_ax t_iy `g_r_uw_p </s>	マイノリティーグループ	マイノロティグループ
<s> `k_r_ey z_iy </s>	クレージー	クレジー
<s> `y_uw z_er s_ax `p_ao_r_t </s>	ユーザーサポート	ユーザーサポート
<s> `n_eh t_ih z_ax_n </s>	ネチズン	ネットシン
<s> `g_r_ey_v `ae_k s_eh_n_t </s>	アクサングラーブ	グラーブアクサン
<s> `s_t_iy_l </s>	スチール	スチール
<s> `m_ow d_ax_m `k_aa_r_d </s>	モデムカード	モデムカード
<s> `k_aa_r_d `s_l_aa_t </s>	カードスロット	カードスロット
<s> `p_ih v_ax_t </s>	ピボット	ピボット
<s> m_ax `m_ao r_iy ax_l `p_aa_r_k </s>	メモリアルパーク	マモリアルパーク
<s> `s_ih s_t_ax_m `t_r_ey </s>	システムトレイ	システムトレー
<s> `s-iy `ey `iy </s>	シーエーイー	シーエーイー
<s> `m_uw_n `r_ae_s </s>	オトメベラ	オラス
<s> `ih n_er `s_p_ey_s </s>	インナースペース	イナスペース
<s> `s_ey b_er </s>	サーベル	サバ
<s> n_ao_r `p_ih `n_eh `f_r_iy_n </s>	ノルエピネフリン	ノルエピネフリン
<s> ax `k_r_ih l_ih_k s_ax `m_eh_n_t </s>	アクリルセメント	アクリルシメント
<s> `s_er_f `t_r_ow l_ih_ng </s>	サーフトローリング	サーフトローリング
<s> `eh_k s_t_r_ax </s>	エクストラ	エクストラ
<s> `l_ae m_ax `n_ey t_er </s>	ラミネーター	ラマネーター
<s> `m_eh r_ax t_ax k_r_ax s_iy </s>	メリトクラシー	メリティクロシ
<s> `f_ah_n_d `m_ae n_ax jh_er </s>	ファンドマネージャー	ファンドマニガー
<s> `k_aa_k n_iy </s>	コックニー	コニ
<s> `p_eh r_ax `m_eh d_ax k_ax_l </s>	パラメディカル	パラメディカル
<s> `er th_ax_n </s>	アースン	アーチン
<s> ax `s_eh_t `l_iy_n </s>	アセチレン	アセットレン
<s> `k_l_aw_n `l_ow_ch </s>	クラウンローチ	クラウンローチ
<s> `z_ow d_iy `ae_k </s>	ゾーディアック	ゾーディアック
<s> ih `l_eh_k t_r_aa_n `v_ow_l_t </s>	エレクトロンボルト	エレクトロンボルト
<s> `g_ey_jh </s>	ゲージ	ゲージ
<s> `l_ow `t_ey b_ax_l </s>	ローテーブル	ローテーブル
<s> `s_ao_r_d </s>	ソード	ソード
<s> `ow v_er `f_l_ow `r_aw t_ih_ng </s>	オーバーフロールーチング	オーバーフロールーティング
<s> `k_l_ah_ch `b_ae_g </s>	クラッチバッグ	クラッチバッグ
<s> `y_eh l_ow `t_ey_l `s_er jh_ax_n `f_ih_sh </s>	イエローテールサージョンフィッシュ	エロレサージョンフィッシュ
<s> `f_r_ih_n_jh </s>	フリンジ	フリンジ
<s> `d_eh </s>	ディーイーエス	デ
<s> `p_aa_p `k_ah_l ch_er </s>	ポップカルチャー	ポップカルチャー
<s> `v_ih zh_ax w_ax_l </s>	ビジュアル	ビジュアル
<s> `m_aa_r b_ax_l </s>	マーブル	マーブル
<s> `ih_n `s_ay_t </s>	インサイト	インサイト
<s> `m_uw_d k_ax_n `d_ih sh_ax n_ih_ng </s>	ムードコンディショニング	ムードコンディショニング
<s> d_ih `l_ey_d `s_t_iy_l </s>	ディレードスチール	デレードスチール
<s> `k_aa m_ih_k `s_ao_ng </s>	コミックソング	コミックソング
<s> `s_n_ow `p_l_aw </s>	スノープラウ	スノープラウ
<s> `p_eh_k </s>	ペック	ペチ
<s> `l_ey z_er `p_r_ih_n t_er </s>	レーザープリンタ	レザープリンタ
<s> `t_w_ih_s_t </s>	ツイスト	ツイスト
<s> s_n_ow `b_aa_l </s>	スノボル	スノボル
<s> `s_ih_n `t_ae_k_s `eh r_er </s>	シンタックスエラー	シンタックスエラー
<s> `k_ow m_ax </s>	コマ	コマ
<s> `ch_ae_t `eh r_iy ax </s>	チャットエリア	チャットエリア
<s> `w_ih s_ax_l `b_l_ow er </s>	ホイッスルブロウワー	ウイセルブローワー
<s> `w_ah_n `s_eh_g </s>	ワンセグ	ワンセグ
<s> `ay `eh-s `ow </s>	アイエスオー	アイエスオー
<s> `l_ay_n_d k_r_ax m_ih_s </s>	ラインドクロミス	ラインドクロミス
<s> `g_aa `l_ih `w_aa_g </s>	ゴリウォーグ	ガリウォーグ
<s> `d_uw ax_l `hh_ow m_ih_ng </s>	デュアルホーミング	デュアルホミング
<s> `s_k_aa t_ih_sh `f_ow_l_d </s>	スコティッシュフォールド	スカティッシュフォールド
<s> `sh_r_iy `l_ae_ng k_ax </s>	スリランカ	スリランコ
<s> `k_er_l </s>	カール	カール
<s> `l_ey d_iy_z `d_ey </s>	レディースデー	レディースデー
<s> `ay s_ax p_r_ax `m_eh t_r_ih_k </s>	アイソパラメトリック	アイソプロメトリック
<s> `p_uh_l `t_aa_p </s>	プルトップ	プルトップ
<s> `g_iy g_ax </s>	ギガ	ギガ
