no-hit no-run game	ノーヒットノーランゲーム
numeric keypad lock	テンキーロック
electromagnetic loudspeaker	マグネチックスピーカー
assistance	アシスタンス
entity	エンティティ
civilization	シビリゼーション
lace glass	レースグラス
cutter shoes	カッターシューズ
body language	ボディーランゲージ
thioben	チオベン
baronet	バロネット
mosaic	モザイク
joist	ジョイスト
epic	エピック
footman	フットマン
off Broadway	オフブロードウェー
polypharmacy	ポリファーマシー
hoverboard	ホバーボード
diesel	ディーゼル
cleansing lotion	クレンジングローション
pumping	パンピング
premium sale	プレミアムセール
strobe	ストローブ
spandex	スパンデックス
Rubik's Cube	ルービックキューブ
unspecified bit rate	アンスペシファイドビットレイト
tripe	トライプ
delay	ディレイ
gravity	グラビティ
dreadlocks	ドレッドロックス
khat	カート
PowerBuilder	パワービルダー
Le Pera etching	レペラーエッチング
plastic model	プラモデル
plate	プレート
someone who is open about their obsession with anime, manga, etc.	オープンオタ
artistic	アーチステック
fireplace	シュミネ
time-lapse	タイムラプス
Abkhazia	アブハジア
regolith	レゴリス
walking shoes	ウォーキングシューズ
chaise longue sofa	カウチソファ
onion	オニオン
stem turn in skiing	シュテムボーゲン
timing	タイミング
inside baseball	インサイドベースボール
ski boots	スキーブーツ
blanket stitch	ブランケットステッチ
premium economy	プレミアムエコノミー
roller conveyor	ロラコンベヤ
magazine	マガジン
Denebola	デネボラ
technical	テクノカル
gonorrhoea	トリッペル
citrus	シトラス
barré	セーハ
turntable	ターンテーブル
digital television	デジタルテレビ
pill	ピル
BRI	ビーアールアイ
sand pump	サンドポンプ
greater naked-tailed armadillo	タトゥースベオアルマジロ
doublespot acara	アエクィデンスパリドゥス
end-of-file	エンドオブファイル
masquerade	マスカレード
fireplace	ファイアプレース
gas meter	ガスメーター
sure	シュア
being in another league	レベチ
ability	アビリティー
slide rule	スライドルール
neat	ニート
morning cup	モーニングカップ
German chamomile	カモミール
unmanaged code	アンマネージコード
humorous	ユーモラス
orchestra pit	オーケストラボックス
pile driver	パイルドライバー
pirarucu	ピラルクー
actuality	アクチュアリティー
nylon	ナイロン
mammy	マミー
butt plug	アナルプラグ
raster plotter	ラスタプロッタ
ribbon cartridge	リボンカートリッジ
ulama	ウラマー
masala	マサラ
closed shop	クローズドショップ
insourcing	インソーシング
metric	メトリック
flick	フリック
aum	オーム
astrology	アストロロジー
adjacent	アジェイサント
night express with sleeper cars	ブルートレイン
kilobyte	キロバイト
etymology	エチモロジー
partition table	パーティションテーブル
grater	グレーター
blue-chip	ブルーチップ
element	エレメント
program information file	ピフ
darling	ダー
sandstorm	サンドストーム
banksia	バンクシア
last place	ブービーメーカー
Maseru	マセル
wick	ウィク
evidence	エビデンス
self-checkout	セルフチェックアウト
minimal art	ミニマルアート
ironic	アイロニック
eroticism	エロティシズム
Nursultan	ヌルスルタン
digitizer	デジタイザ
front-end computer	フロントエンドコンピュータ
my dear	モンシェリー
gavotte	ガボット
plain knot	プレーンノット
top contender	トップコンテンダー
new style	ニュースタイル
convex	コンベックス
Rhodeus atremius atremius	カゼトゲタナゴ
battery	バッテリー
essential	エッセンシャル
traffic type	トラヒックタイプ
ultramarine	ウルトラマリン
point size	ポイントサイズ
three-quarter pitch	スリークォーター
Kashmir curry	カシミールカレー
modeler	モデレ
masochism	マゾヒズム
flat tax	フラットタックス
color spraypaint	カラースプレー
colored galvanized steel sheet	カラートタン
cycle stealing	サイクルスチール
duffel bag	ダッフルバッグ
downstream	ダウンストリーム
managed float	マネージドフロート
scanning	スキャニング
coplanar	コプラナー
Rainford's butterflyfish	レインフォーズバタフライフィッシュ
hantavirus	ハンタウイルス
seamless	シームレス
wheel alignment	ホイールアライメント
inclusion	インクルージョン
rondo	ロンド
fluorocarbon	フロン
pipa	ピパ
tubocurarine	ツボクラリン
scopophilia	スコボフィリア
gray code	グレーコード
orthicon	オルシコン
parasail	パラセール
stator	ステーター
paper towels	タオルペーパー
mirror	ミラー
Menemerus brachygnathus	シラヒゲハエトリ
rompers	ロンパース
cash on delivery	キャッシュオンデリバリー
aqua polis	アクアポリス
guideline	ガイドライン
Valletta	バレッタ
eyebrow palette	アイブロウパレット
giant barb	パーカーホ
area of a soccer pitch between the penalty area and the centre ring	バイタルエリア
client hub	クライアントハブ
page printer	ページプリンタ
official	オフィシャル
air hostess	エアホステス
home freezing	ホームフリージング
Kashmir	カシミール
credit card and consumer financing	クレサラ
cleansing milk	クレンジングミルク
lawn bowls	ローンボウルズ
drink	ドリンク
arbitration level	アービトレーションレベル
test jumper	テストジャンパー
courseware	コースウエア
navy look	ネイビールック
broadcast	ブロードキャスト
shot	ショット
bluff	ブラフ
confectionary of jam, cream, etc. sandwiched between two soft buns	ブッセ
Marburg virus	マールブルグウイルス
deskband	デスクバンド
chapati	チャパティ
dish fried in garlic oil	アヒージョ
cantaloupe-flavoured soda	メロンソーダ
garden house	ガーデンハウス
lava	ラーバ
lambada	ランバダ
Pont l'Évêque	ポンレヴェック
Powerbook	パワーブック
random scan display	ランダムスキャンディスプレイ
parallel computer	パラレルコンピュータ
oligonucleotide	オリゴヌクレオチド
after-sales support	アフターサポート
state amateur	ステートアマ
oil crisis	オイルショック
photogénie	フォトジェニー
skit	ショートコント
nebula	ネビュラ
wash-and-wear	ウォッシュアンドウエア
offset	オフセット
national project	ナシュプロ
seek time	シークタイム
terraced house	テラスハウス
tetrose	テトロース
CinemaScope	シネスコ
pocket	ポケット
crime story	クライムストーリー
in-circuit tester	インサーキットテスタ
cafe a la creme	カフェアラクレーム
snoopy	スヌーピー
mental model	メンタルモデル
modernist	モダニスト
Illinois	イリノイ
check it	チェケ
terry cloth	テリークロス
Trimma kudoi	ナガシメベニハゼ
bubble gum	バブルガム
hot atom	ホットアトム
psychopath	サイコパス
reward	リワード
Lambrusco	ランブルスコ
imagesetter	イメージセッター
civilian	シビリアン
Japan surgeonfish	ナミダクロハギ
Western music	ウエスタンミュージック
season sports	シーズンスポーツ
aegis	イージス
kora	コラ
maneuver	マヌーバー
government	ガバメント
front page	フロントページ
Dalmatian	ダルメシアン
working memory	ワーキングメモリー
fatal	フェータル
yelp	キャン
band-pass filter	バンドパスフィルタ
turning off a vehicle engine when stopped	アイドリングストップ
major	メジャー
yangnyeom chicken	ヤンニョムチキン
magnesia	マグネシア
tenderness	テンダーネス
recording studio	レコーディングスタジオ
hash	ハヤシ
canzone	カンツォーネ
flower-patterned material used to bind the ends of the spine in books	ヘッドバン
egg	エッグ
Thomson's gazelle	トムソンガゼル
alyssum	アリッサム
my mixi	マイミクシィ
action	アクション
macramé	マクラメ
macroengineering	マクロエンジニアリング
gook	チョンカス
pickup directory	ピックアップディレクトリ
Bosnia	ボスニア
physical fitness	フィジカルフィットネス
AMPS	アンプス
open course	オープンコース
one-on-one fight	タイマン
red card	レッドカード
siesta	シエスタ
TPC-C	ティーピーシーシー
administrator	アドミニストレータ
organizer	オーガナイザー
frame based	フレームベース
headless server	ヘッドレスサーバ
high jump	ハイジャッンプ
publishing	パブリッシュ
glycerol	グリセロール
hair tonic	ヘアトニック
baby sling	ベイビースリング
Ljubljana	リュブリャナ
pedal	ペダル
camel	キャメル
chemise	シミーズ
cigarette lighter	シガーライター
patient	クランケ
glass wool	グラスウール
nothing	ナッシング
headband	ヘッドバンド
century	センチュリー
libretto	リブレット
headstock	ヘッドストック
riot	ライオット
high status	ハイステータス
phantom bannerfish	インディアンバナーフィッシュ
spiral	ループライン
graphic(al) tool	グラフィックツール
privacy policy	プライバシーポリシー
data tag	データタグ
staticizer	スタティサイダ
Riga	リガ
Heath monitor	ローゼンバーグオオトカゲ
gaming chair	ゲーミングチェア
ontology	オントロジー
decision-making	デシジョンメーキング
mental health	メンタルヘルス
dining chair	ダイニングチェア
sandstone	サンドストーン
paper towel	ペーパータオル
Latina	ラティーナ
cable manager	ケーブルマネージャ
users' manual	ユーザーマニュアル
overtime	タイムオーバー
slat	スラット
jerky	ジャーキー
citation	サイテーション
host father	ホストファーザー
non-Japanese person who has adopted a Japanese lifestyle	タタミゼ
album	アルバム
fielder	フィールダー
air pageant	エアページェント
portfolio	ポートフォリオ
circumscription	サーカムスクリプション
black comedy	ブラックコメディ
photon factory	フォトンファクトリー
armadillo girdled lizard	アルマジロトカゲ
Centronics	セントロニクス
megacity	メガシティ
rosin bag	ロージンバッグ
promotion	キャンペーン
sapodilla	サポジラ
telephone box	テレフォンボックス
haircut of uniform length	ワンレングス
bridge	ブリッジ
smoked ham	スモークハム
wraparound skirt	ラップスカート
mauve	モーブ
mask squeeze	マスクスクイズ
aeration	エアレーション
parlando	パルランド
yellowspotted sawtail	イエロースポテットソウテール
windcrust	ウィンドクラスト
kick step	キックステップ
going off course	コースアウト
hand money	ハンドマネー
jug	ジャグ
videotex	ビデオテックス
Trappist	トラピスト
rooming	ルーミング
Premium Friday	プレフラ
caterpillar track	キャタピラ
restaurant with a play area for children	キッズカフェ
large size	ラージサイズ
chevron tang	メイキュウサザナミハギ
catwalk	キャットウオーク
Celsius	セルシウス
Jesus	イイスス
having no end tiles or honor tiles and pinfu	タンピン
machine language	マシンランゲージ
detonation	デトネーション
cyclopropane	シクロプロパン
cyclone	サイクロン
recruit fashion	リクルートファッション
connector	ピンプラグ
company paper	カンパニーペーパー
dressing down	ドレスダウン
capriccioso	カプリチョーソ
reception	レセプション
answer	アンサー
basic income	ベーシックインカム
Japanism	ジャパニズム
chicken curry	チキンカレー
ice bag	アイスパック
mentalist	メンタリスト
minibike	ミニバイク
lampshade	ランプシェード
ITU	アイティーユー
electronic cafe	エレクトロニックカフェ
halfline	ハーフライン
storyboard	ストーリボード
action scene	アクションシーン
media clip	メディアクリップ
sitar	シタール
de facto	デファクト
perspective drawing	パース
outside grip	アウトサイドグリップ
marking paper	マーキングペーパー
text	テキス
diction	ディクション
CSLIP	シースリップ
nanosize	ナノサイズ
ti	シ
soft coral	ソフトコーラル
industrial engineering	インダストリアルエンジニアリング
chromatin	クロマチン
isosorbide	イソソルビド
intelligent network	インテリジェントネットワーク
pidgin English	ピジンイングリッシュ
Tripoli	トリポリ
apostle	アポストロ
inked ribbon	インクリボン
latte	ラテ
galley	ゲラ
social skills training	ソーシャルスキルズトレーニング
dog race	ドッグレース
rice cake	ライスケイク
surround system	サラウンドシステム
musical comedy	ミュージカルコメディー
scrambler	スクランブラー
hymen	ヒーメン
ducking	ダッキング
base running	ベースランニング
reef	リーフ
silver dollar	メチニス
Jurassic	ジュラシック
politeness	エチケット
chloral	クロラール
SMP	エスエムピー
blacktail snapper	オキフエダイ
sunlounger	サマーベッド
manifesto	マニフェスト
polyurethane	ポリウレタン
bioconversion	バイオコンバーション
earth color	アースカラー
extreme sports	エクストリームスポーツ
balloon art	バルーンアート
zooming	ビュイーン
Itanium	アイテニアム
service line	サービスライン
hazard map	ハザードマップ
service	サービス
implant	インプラント
description	デスクリプション
Pueblo	プエブロ
motorcar	モーターカー
brine shrimp	ブラインシュリンプ
Indo-Pacific sergeant-major fish	オヤビッチャ
cold roast beef	コールドビーフ
donkey	ドンキー
liberal feminism	リベラルフェミニズム
stringendo	ストリンジェンド
banded sergeant	シチセンスズメダイ
smog	スモッグ
member set	メンバセット
franchise chain	フランチャイズチェーン
faculty	ファカルティ
last	ラスト
National Standard Race ski	ナスタースキー
marshaller	マーシャラー
derived	デライブド
wolf	ウルフ
one chance	ワンチャン
katakana "we"	ヱ
doors	ドアーズ
dogmatic	ドグマティック
poblano	ポブラノ
Valentine	バレンタイン
scoring position	スコアリングポジション
control file	コントロールファイル
carabao	カラバオ
unswizzle	アンスウィズル
digital nomad	アドレスホッパー
politics	ポリティクス
malachite green	マラカイトグリーン
Passover	パスオーバー
Okinawa rubble goby	オキナワベニハゼ
colored	カラード
geranium	ゼラニウム
research centre	リサーチセンター
glass fiber ski	グラススキー
flashbulb	フラッシュバルブ
account lockout	アカウントロックアウト
papaverine	パパベリン
accord	アコード
hydroxy ketone	ヒドロキシケトン
belly roll	ベリーロール
anus	アヌス
indoor	インドア
vanadium	バナジウム
network printer	ネットワークプリンタ
rapport	ラポール
car sex	カーセックス
narrow silhouette	ナローシレエット
naturalization	ナチュラリゼーション
transferrin	トランスフェリン
cone speaker	コーンスピーカー
MIFES	マイフェス
dormitory	ドーミトリー
homosexual	ブルーセッカス
gash	ガッシュ
meta-level	メタレベル
all English	オールイングリッシュ
lined butterflyfish	ニセフウライチョウチョウウオ
milk glass	ミルクガラス
brake judder	ブレーキジャダー
tapioca	タピオカ
wet core	ウエットコア
tracing	トレーシング
oven	オーブン
chef-owner	オーナーシェフ
bra camisole	ブラキャミソール
menthol	メンソール
fencing	フェンシング
negentropy	ネゲントロピー
cocoa butter	カカオバター
midrange	ミッドレンジ
flashgun	フラッシュガン
rod	ロッド
evil	エビル
DASD	ダスド
telegenic	テレジェニック
intercontinental	インターコンチネンタル
Homo sapiens idaltu	ホモサピエンスイダルトゥ
just-in-time compiler	ジャストインタイムコンパイラ
layer cake	レヤーケーキ
forced unpaid part-time work	ブラックバイト
zebu	ゼブ
glamping	グランピング
sub-economizer	スブエコ
railroad	レールロード
refreshment	リフレッシュメント
deoxyribo	デオキシルボ
al dente	アルデンテ
Markov model	マルコフモデル
Decalogue	デカログ
soft drink	ソフトドリンク
field study	フィールドスタディー
end curler	エンドカーラー
pineapple	パイン
Emery's gregory	エメリーズグレゴリー
kernel	カーネル
melodic hardcore	メロディックハードコア
endpoint	エンドポイント
rutile	ルチル
hand axe	ハンドアックス
hieratic	ヒエラティック
chiffon velvet	シフォンベルベット
India	インディア
bathroom scales	ヘルスメーター
god	カムイ
allotment	クラインガルテン
angular	アンギュラー
online store	ネットストア
jib crane	ジブクレーン
software scroll	ソフトウェアスクロール
tariff	タリフ
magnetic bike	マグネットバイク
Filipino	フィリピーノ
battle royal	バトルロイヤル
calligraphy	カリグラフィー
computer tomography	コンピュータートモグラフィー
Korean	チョン
roller bag	キャスターバッグ
sub-genre	サブジャンル
Indian butter sauce	マカニ
ogg	オッグ
Belgrade	ベオグラード
skyhook	スカイフック
Pacific longnose chimaera	アズマギンザメ
marginal cost	マージナルコスト
lineage	リネージ
English longbow	ロングボウ
gar	ガー
thermometer	サーモメーター
pan pizza	パンピザ
sexual desire	エロス
customs	カスタムズ
rockfill	ロックフィル
Jini	ジーニー
qualifying tournament	クォリファイングトーナメント
manners	マナー
cotangent	コタンジェント
synchronizer	シンクロナイザー
rewritable	リライタブル
A-to-B	エートゥビー
accelerator	アクセラレータ
mask ROM	マスクロム
pen-touch	ペンタッチ
grace	ガラサ
video camera	ビデオカメラ
fiber to the home	ファイバーツーザホーム
amity	アミティ
soda pulp	ソーダパルプ
Habanero	ハバネロ
compressed toby	ヒメキンチャクフグ
supply side	サプライサイド
chocolate bar	チョコバー
neo dada	ネオダダ
novelty	ノベルティ
osmium	オスミウム
hair pin	ヘアピン
pepino	ペピーノ
gradation	グラデーションカラー
prototype system	プロトタイプシステム
called game	コールドゲーム
empty nest syndrome	エンプティーネストシンドローム
interlock	インターロック
aerobics	エアロビクス
hiding	ハイディング
clubhouse	クラブハウス
time is up	タイムアップ
control program	コントロールプログラム
lagoon	ラグーン
dynamite	ダイナマイト
Compact Pro	コンパクトプロ
scandalous	スキャンダラス
leverage	レバレッジ
cut-sheet feeder	カットシートフィーダ
neotame	ネオテーム
house dust mite	ヤケヒョウヒダニ
neo-Lamarckism	ネオラマルキズム
optimistic	オプティミスティック
MAPI	マッピ
brown sauce	ブラウンソース
dummy parameter	ダミーパラメタ
site map	サイトマップ
horn shark	ホーンシャーク
fiber concrete	ファイバーコンクリート
ice bucket	アイスバケット
kit	キット
very, very bad	チョベリバ
personal trainer	ヘルスケアトレーナー
rabbit fish	ラビットフィッシュ
uni-processor	ユニプロセッサ
fly gallery	フライギャラリー
weekly	ウィークリー
documentary	ドキュメンタリー
mnemonic	ニーモニック
world class	ワールドクラス
watercooler	ウォータークーラー
swellshark	カリフォルニアスウェルシャーク
lockdown	ロックダウン
Anglo-Saxon	アングロサクソン
hexogen	ヘキソーゲン
chart area	グラフエリア
global data	グローバルデータ
visual flight	ビジュアルフライト
warthog	ワートホッグ
yellow teardrop butterflyfish	イエローティアドロップバタフライフィッシュ
year-round fashion	イヤラウンドファッション
3DR	スリーディーアール
pumping	ポンピング
Abyssinian	アビシニアン
integrated routing	インテグレーティドルーチング
Bohemian glass	ボヘミアングラス
middle management	ミドルマネジメント
semantics	セマンティクス
convenience foods	コンビニエンスフーズ
neuropathy	ニューロパチー
trio	トリオ
Liverpool Sound	リバプールサウンド
young town	ヤングタウン
convolvulus	コンボルブルス
phosphagen	ホスファゲン
crosshatching	ケカアミ
dry shaving	ドライシェービング
apple strudel	アプフェルシュトルーデル
publisher	パブリッシャー
bay cat	ボルネオヤマネコ
huaraches	ワラーチ
director's chair	ディレクターズチェア
fruit punch	フルーツポンチ
Sunday driver	サンデードライバー
privacy	プライバシー
prefix	プレフィックス
windsurfing	ウィンドサーフィン
bourrée	ブーレ
pot-au-feu	ポトフ
disassemble	ディスアセンブル
cupping	カッピング
mistress	ミストレス
skin lotion	スキンローション
eruption	イラプション
dipping sauce	ディップソース
Montevideo	モンテビデオ
spelling bee	スペリングコンテスト
masochist	マゾ
Krishna	クリシュナ
halloumi	ハルーミ
stealing home	ホームスチール
tabulation stop	タブストップ
microcurie	マイクロキューリー
sun visor	サンバイザー
Pan-American Highway	パンアメリカンハイウェー
power politics	パワーポリティックス
tenor	テナー
boomerang	ブーメラン
paper theater	ペープサート
elegant	エレガント
lebkuchen	レープクーヘン
demonstrator	デモンストレーター
angle	アングル
grizzly bear	グリズリーベア
Synclavier	シンクラヴィア
afterburner	アフターバーナー
baffy	バッフィー
puree	ピューレ
DSS	ディーエスエス
street children	ストリートチルドレン
cellophane tape	セロハンテープ
narrow gauge	ナローゲージ
paperwork	ペーパーワーク
moleskin	モールスキン
troubadour	トルバドール
clan	クラン
anabaptist	アナバプテスト
ritardando	リタルダンド
skylight	スカイライト
backup diskette	バックアップディスケット
home staging	ホームステージング
gauss	ガウス
electronic cottage	エレクトロニックコテージ
metagenome	メタゲノム
memory configuration	メモリコンフィギュレーション
sans serif	サンセリフ
West Point	ウエストポイント
across	アクロス
twinkle	トウインクル
neo-fascist	ネオファシスト
restructuring	リストラクチャリング
blackbelly goby	ソメワケイソハゼ
Windows2000	ウィンドウズニセン
kiss curl	キスカール
Époisses de Bourgogne	エポワス
kachāshī	カチャーシー
ethology	エソロジー
Extended Definition Television	クリアビジョン
double standard	ダブスタ
balance ball	バランスボール
access control list	アクセスコントロールリスト
trackpad	トラックパッド
revival	リヴァイヴァル
lemon butter	レモンバター
courier	クーリエ
character leitmotif	キャラソン
fiscal year	フィスカルイヤー
Nielluccio	ニエルッキオ
public acceptance	パブリックアクセプタンス
rose gray	ローズグレー
dump list	ダンプリスト
cybernation	サイバネ
Saint Laurent	サンローラン
curling	カーリング
Sebree's pygmy goby	クロスジイソハゼ
mezzo	メゾ
hypersonic	ハイパーソニック
computer programmer	コンピュータプログラマー
wallaroo	ワラルー
racing driver	カーレーサー
comment	コメント
housecleaning	ハウスクリーニング
turquoise	ターコイズ
mortgage broker	モーゲージブローカー
fallback	フォールバック
optional tour	オプショナルツアー
fantasy object for masturbation	オナドル
God the Father	パーテル
didymium	ジジム
crush syndrome	クラッシュシンドローム
androsterone	アンドロステロン
troostite	トルースタイト
almond	アーモンド
Dasein	ダーザイン
blackspot goatfish	オキナヒメジ
security hole	セキュリティホール
cornucopia	コルヌコピア
online debug	オンラインデバッグ
bon voyage	ボンボヤージュ
requiem	レクイエム
promotional model	イベントコンパニオン
industry	インダストリー
full HD	フルスペックハイビジョン
gluten	グルテン
life	ライフ
speed camera	オービス
menu board	メニューボード
address mask	アドレスマスク
reminiscence	レミニセンス
desert hedgehog	エチオピアハリネズミ
filing cabinet	ファイルキャビネット
de jure	デジュール
formatting	フォーマティング
raisin	レーズン
peak rate	ピークレート
athletic-style shirt	ランニングシャツ
chairperson	チェアパーソン
taco	タコス
overpass	オーバーパス
dock	ダック
money-shortage crisis	ゲルピン
blow job	ブロージョブ
reunion angelfish	レユニオンエンジェルフィッシュ
continental	コンチネンタル
wild game	ジビエ
the Pamirs	パミール
ethyl	エチル
cassette tape	カセットテープ
eyeshadow	アイシャドウ
hedonist	ヘドニスト
rewrite	リライト
YP	ワイピー
network element	ネットワークエレメント
trijet	トライジェット
moire	モアレ
cirque	カール
ticker symbol	ティッカーシンボル
collectomania	コレクトマニア
raster scan display	ラスタースキャンディスプレイ
chiropractic	カイロテック
film cartridge	パトローネ
field upgrade	フィールドアップグレード
opener	オープナー
parison	パリソン
monofilament	モノフィラメント
gas lamp	ガスランプ
palette	パレット
gas tank	ガスタンク
Tet	テト
palak paneer	パラックパニール
lux	ルクス
pineapple juice	パインジュース
someone who withdraws from society	ヒッキー
breath	ブレス
mattress pad	ベッドパッド
peanut oil	ピーナッツオイル
spot announcement	スポットアナウンス
denotational	デノテーショナル
winch	ウインチ
permanent snowpatch	ネベ
Kermit	カーミット
chino pants	チノパンツ
mustard gas	マスタードガス
bubble bath	バブルバス
Nevada	ネバダ
locomotive	ロコモーティブ
pescatore	ペスカトーレ
tablespoon	テーブルスプーン
Energy Star	エネルギースター
engaging the clutch	クラッチミート
destination drive	デスティネーションドライブ
eco bag	エコバッグ
signed ball	サインボール
plastic case	プラケース
crystal microphone	クリスタルマイクロフォン
papa	パパ
cola	コーラ
ODBC	オーディービーシー
strong point	アピールポイント
shielding gas	シールドガス
technology	テク
shoulder bag	サコッシュ
serotonin	セロトニン
Masai	マサイ
express	エクスプレス
ragdoll	ラグドール
punk rock	パンクロック
postbox	ポスト
Norfolk jacket	ノーフォークジャケット
lightsaber	ライトセーバー
consultant	コンサルタント
escalator	エスカレーター
Sharpe's grysbok	シャープグリスボック
wire brush	ワイヤブラシ
washable	ウォッシャブル
moquette	モケット
oat	オーツ
blue-spotted spinefoot	サンゴアイゴ
TV personality who makes people irritated	イラドル
congress gaiters	コングレスブーツ
landing zone	ランディングゾーン
nitazoxanide	ニタゾキサニド
nouvelle cuisine	ヌーヴェルキュイジーヌ
gymnema	ギムネマ
drive-in	ドライブイン
coated paper	レザペパ
Orion	オライオン
code-independent	コードインデペンデント
dystrophy	ジストロフィー
steak tartare	タルタルステーキ
vial	バイアル
hand soap	ハンドソープ
running play	ランニングプレー
linker	リンカ
working mother	ワーキングマザー
hint	ヒント
short squeeze	ショートスクイズ
shopping bag	ショッピングバッグ
methyl ether	メチルエーテル
agapanthus	アガパンサス
gunfighter	ガンファイター
tap	タップ
roller coaster	ローラーコースター
Smaragdus pygmy goby	クロホシイソハゼ
digital-analog	デジタルアナログ
rash guard	ラッシュガード
pair	ペア
heliotrope	ヘリオトロープ
outdrop	アウトドロップ
spectrum analyzer	スペアナ
wax	ワックス
homage	オマージュ
roleplay	ロープレ
blister	ブリスター
rouge	ルージュ
popular song	ポピュラーソング
living-room plus kitchen	リビングキッチン
cacao mass	カカオマス
price taker	プライステーカー
back buffer	バックバッファ
roller shutter	シートシャッター
official website	オフィシャルサイト
television rating system	テレビレーティングシステム
sloe gin	スロージン
intelligent hub	インテリジェントハブ
energy	エネ
acryloid	アクリロイド
firmware	ファームウェア
YouTube	ユーチューブ
common folk	パンピ
quijada	キハーダ
infinity	インフィニティ
scriptwriter	シナリオライター
bing-bong bang-bong	キーンコーンカーンコーン
rejection	リジェクト
bushing	ブッシング
love story	ラブストーリー
beachwear	ビーチウエア
atrazine	アトラジン
black pepper	ブラックペッパー
short test	ミニテスト
triad	トライアド
ethnicity	エスニシティ
Anglo-Catholic	アングロカトリック
form-feed	フォームフィード
fish roaster	フィッシュロースター
Trimma caudipunctatum	ダイトクベニハゼ
pseudo-	シュード
password file	パスワードファイル
woman	ウーマン
birdie	バーディー
fruity	フルーティー
power lead	パワーリード
otherwise	アザワイズ
peptone	ペプトン
chakra	チャクラ
phasing	フェイズィング
chocolate fondue	チョコレートフォンデュ
beach ball	ビーチボール
twin	ツイン
cocktail glass	カクテルグラス
dacite	デイサイト
free pass	フリーパス
yield	イールド
CONFIG.SYS	コンフィグシス
COVID-19 crisis	コロナショック
anticlimax	アンチクライマックス
armature	アーマチュア
gender gap	ジェンダーギャップ
pollack	ポラック
kerygma	ケリュグマ
butter rice	バターライス
dandy	ダンディ
octavo	オクタボ
invention	インベンション
Yahweh	ヤハウェ
Bengal monitor	ベンガルオオトカゲ
Monte Carlo	モンテカルロ
passion	パッション
tray	トレー
Italy	イタリー
ferret	フェレット
short skirt	ショートスカート
pigtails	ツインテール
dominant partner of a homosexual relationship	バリタチ
seventeen	セヴンティーン
kingbolt	キングボルト
scrap	スクラップ
insert a space	スペ
prefetch	プリフェッチ
neo-conservative	ネオコンサバティブ
Austin	オースチン
garden tractor	ガーデントラクター
pompom	ポンポン
medical social worker	メディカルソーシャルワーカー
just safe	ギリセーフ
turnover	ターンオーバー
matching	マッチング
natural	ナチュラル
virus checker	ウイルスチェッカ
phytoestrogen	フィトエストロゲン
instant message	インスタントメッセージ
ink jet	インクジェット
running catch	ランニングキャッチ
center court	センターコート
tank breathing	タンクブリージング
video adapter	ビデオアダプタ
cold type system	コールドタイプシステム
jazz dance	ジャギー
choral	コラール
silage	サイレージ
cytomegalovirus	サイトメガロウイルス
centaur	ケンタウロス
artisan	アルチザン
mantra	マントラ
unforced error	アンフォーストエラー
vamp	バンプ
Tom Collins	トムコリンズ
cloth face mask sent out to every household in Japan during the COVID-19 pandemic	アベノマスク
gestalt	ゲシュタルト
Dolcetto	ドルチェット
context	コンテクスト
Louis Vuitton	ルイビトン
multichannel amplification	マルチアンプ
inbreeding	インブリーディング
exodus	エクソダス
write-back cache	ライトバックキャッシュ
field goal	フィールドゴール
street organ	ストリートオルガン
sheepskin	ムートン
carbide	カーバイド
thermal relay	サーマルリレー
margined coralfish	マージンドコーラルフィッシュ
overflow error	オーバーフローエラー
to parse	パース
Nashville	ナッシュビル
trail running	トレラン
telemedicine	テレメディスン
online computer	オンラインコンピューター
Christmas wrasse	リュウグウベラ
jumper switch	ジャンパスイッチ
incunable	インキュナブラ
throttle lever	スロットルレバー
DAP	ディーエーピー
continental look	コンチネンタルルック
gibbon	ギボン
brunch	ブランチ
wood pulp	ウッドパルプ
floor lamp	フロアスタンド
shovel	シャベル
square millimetre	スケ
vision	ビジョン
earrings	ピアス
mixture	ミクスチャー
semi-professional	セミプロフェッショナル
spotter	スポッター
glockenspiel	グロッケンシュピール
tall chair	ハイチェア
Muay Thai	ムエタイ
partisan	パルチザン
barbital	バルビタール
screw	ビス
Nigeria	ナイジェリア
outswing	アウトスウィング
cutting	カッティング
commission	コミッション
joyful	ジョイフル
clinical pathway	クリニカルパス
Yemen monitor	イエメンオオトカゲ
sandwich spread	サンドイッチスプレッド
Indian cobra	インドコブラ
loft	ロフト
temporary	テンポラリー
steamed Korean dish	チム
7th note in the diatonic scale	ゲー
super high decker	スーパーハイデッカー
de-escalation	デスカレーション
Pokemon seizure incident	ポケモンショック
social networking	ソーシャルネットワーキング
open ticket	オープンチケット
sovkhoz	ソフホーズ
workers' collective	ワーカーズコレクティブ
swinger	スインガー
analyst	アナリスト
Borneo shark	ボルネオメジロザメ
inbound	インバウンド
rucksack	リュック
cloister	クロイスター
rucksack	ザック
packet analyzer	パケットアナライザ
rotary pump	ロータリーポンプ
dideoxyinosine	ジデオキシイノシン
NIM	エヌアイエム
CGA	シージーエー
libertarianism	リバタリアニズム
summary	サマリー
philanthropy	フィランスロピー
ground pulp	グラウンドパルプ
waterproof	ウォータープルーフ
open-necked shirt	オープンシャツ
sting	スティング
loopback	ループバック
person trip	パーソントリップ
carbon black	カーボンブラック
wiping	ワイピング
dry suit dive	ドライスーツダイブ
Gosplan	ゴスプラン
smart home	スマートホーム
